X,Y,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
C[C@@H]1C(=O)O[C@H]2[C@H](O)[C@]34[C@H]5C[C@@H](C(C)(C)C)[C@]36[C@@H](OC(=O)[C@@H]6O)O[C@]4(C(=O)O5)[C@@]12O,5.2,424.13694696800053,0.85,10,3,6,10,30,4,0,148.82,0.3140501117996527,-1.3694999999999982,8.863044761741367,2,4,6,0,0,0,2,4,6
Cc1ccc(S(=O)(O)=NC(=O)N[C@H]2[C@H]3CC[C@@](C)([C@H]2O)C3(C)C)cc1,9.2,366.1613283120007,0.6111111111111112,6,3,3,7,25,8,0,98.99,0.7483261395049732,3.190120000000002,8.818455603154886,2,0,2,1,0,1,2,0,2
Cc1ccc(S(=O)(O)=NC(=O)NN2C[C@H]3CCC[C@@H]3C2)cc1,16.4,323.1303625320006,0.5333333333333333,6,2,3,7,22,4,0,81.99999999999999,0.8763884061807674,2.6514200000000008,8.00536210255045,1,1,2,1,0,1,1,1,2
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(O)=NC(=O)NC3CCC(C)CC3)cc2)C1=O,10.0,490.22499118800096,0.5416666666666666,9,3,3,10,34,10,0,128.17,0.5531198702717794,4.095600000000003,8.298891625673672,1,1,2,1,0,1,1,0,1
Cc1cnc(C(=O)NCCc2ccc(S(=O)(O)=NC(=O)NC3CCCCC3)cc2)cn1,3.3,445.1783753440008,0.42857142857142855,9,3,3,10,31,8,0,133.64,0.6255156262145767,3.0997200000000014,7.834083799054007,1,0,1,1,1,2,1,0,1
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(O)=NC(=O)NC2CCCCC2)cc1,2.2,493.14381967600076,0.391304347826087,8,3,3,10,33,9,0,117.09,0.5180399558979195,4.663300000000004,7.87675594909089,1,0,1,2,0,2,1,0,1
C[N+]1(C)CC[C@@H](OC(=O)[C@](O)(c2ccccc2)C2CCCC2)C1,0.65,318.2063701760908,0.631578947368421,4,1,3,4,23,7,0,46.53,0.6850778093160973,2.4562999999999997,8.328284168489423,1,1,2,1,0,1,1,1,2
COc1cccc2c1C(=N)c1c(O)c3c(c(O)c1C2=O)C[C@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@@H](N)[C@H](O)[C@H](C)O1,13.8,542.1900451600006,0.4444444444444444,12,8,5,12,39,13,0,212.85,0.21609648852077548,0.18646999999999964,8.610424127186358,2,1,3,2,0,2,0,1,1
CN1[C@@H]2CCC[C@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2,5.2,312.1950113880007,0.5555555555555556,5,1,4,5,23,4,0,50.160000000000004,0.9256729590726123,2.3183999999999996,8.529357304804241,0,2,2,1,1,2,0,2,2
Cc1nc(NNC(=O)[C@@H](CC2CCCC2)CN([O-])C=O)c(F)c(N2CCN3CCOC[C@H]3C2)n1,4.2,478.25835433591095,0.7272727272727273,11,2,4,12,34,9,0,125.99000000000001,0.3954097143477649,1.040720000000001,8.373401605255614,1,2,3,0,1,1,1,2,3
N=C(N)N[C@H](CS)C(=O)O,1.34,163.041547528,0.5,5,5,0,6,10,4,0,99.2,0.2060081971755789,-1.1475299999999995,7.938903569272027,0,0,0,0,0,0,0,0,0
C[C@H](N)CCCC(C)(C)O,2.5,145.146664228,1.0,2,3,0,2,10,9,0,46.25,0.6255674875811107,1.2748000000000002,7.974236223364377,0,0,0,0,0,0,0,0,0
CN1C(=O)NC(=O)[C@@](C)(C2=CCCCC2)C1=O,4.9,236.116092372,0.5833333333333334,5,1,2,5,17,3,0,66.48,0.5492380246867914,1.2012999999999998,7.863178154779018,1,1,2,0,0,0,0,1,1
COC(=O)C[C@@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,9.8,545.262481828001,0.6551724137931034,10,2,5,10,39,15,0,123.99000000000002,0.4476247910169288,2.5807,8.974760210929634,1,3,4,1,0,1,0,1,1
C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,1.6,362.20932406000077,0.8095238095238095,5,3,4,5,26,7,0,94.83,0.6960164410604959,1.7815999999999996,8.731901051444527,4,0,4,0,0,0,3,0,3
CN[C@@H]1C[C@H]2O[C@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@@H]4O,790.0,482.19540531200073,0.32142857142857145,8,3,8,8,36,6,0,89.68,0.35578332432727927,3.844900000000002,8.709271555037294,0,3,3,3,2,5,0,1,1
C=CC(=O)N1CCC[C@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,5.0,440.1960740080007,0.2,8,2,5,8,33,6,0,99.16,0.4667032430058404,4.2173000000000025,7.19770034585112,0,1,1,2,2,4,0,1,1
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,1.6,206.130679816,0.46153846153846156,2,1,1,2,15,7,0,37.3,0.8215995486924975,3.073200000000001,7.125712904932197,0,0,0,1,0,1,0,0,0
CCCCCCCN(CC)CCC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1,7.0,384.24466401200095,0.7,5,2,1,6,26,18,0,69.64,0.4725190328976435,4.164000000000003,8.399635108079616,0,0,0,1,0,1,0,0,0
CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,16.0,497.16858144400067,0.4230769230769231,10,6,5,10,36,10,0,176.60999999999999,0.32834650610487814,1.0202999999999998,8.376033328100146,2,1,3,2,0,2,0,1,1
c1ccc2c(c1)OC[C@H](C1=NCCN1)O2,4.2,204.089877624,0.36363636363636365,4,1,3,4,15,1,0,42.849999999999994,0.7363733909281086,0.8280999999999994,7.883145420717247,0,2,2,1,0,1,0,0,0
CN(CC(=O)N[O-])C(=O)[C@@H]1CCCC[C@@H]1C(=O)O,2.6,257.11429522391006,0.7272727272727273,7,2,1,7,18,5,0,109.77,0.6859796416562858,-0.05019999999999941,6.782402113367528,1,0,1,0,0,0,1,0,1
O=C(/C=C\c1ccccc1)NCCO,1.35,191.094628656,0.18181818181818182,3,2,1,3,14,5,0,49.33,0.6917568116910905,0.8083,7.738652712699101,0,0,0,1,0,1,0,0,0
CO[P@](=O)(c1cc(C)cc(/C=C\C#N)c1)c1c(C(N)=O)[nH]c2ccc(Cl)cc12,4.4,413.0696057140005,0.1,6,3,3,8,28,7,0,108.97,0.4911935570371393,3.6407000000000016,7.873173490083078,0,0,0,2,1,3,0,0,0
CO[P@](=O)(c1cc(C)cc(/C=C\C#N)c1)c1c(C(N)=O)[nH]c2ccc(Cl)c(F)c12,7.4,431.06018390200046,0.1,6,3,3,9,29,7,0,108.97,0.4729238520490912,3.7798000000000016,7.6630581054676945,0,0,0,2,1,3,0,0,0
C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,4.32,325.2041791040008,0.42857142857142855,3,2,3,3,24,8,0,43.7,0.8793321565506861,3.7688000000000033,8.34029859689066,0,1,1,2,0,2,0,1,1
O=[P@@]1(NCCCl)OCCCN1CCCl,6.6,260.0248197100001,1.0,4,1,1,7,14,5,0,41.57,0.605720669080109,1.884,6.730321197191261,0,1,1,0,0,0,0,1,1
CC#CC[C@H](C)[C@H](O)/C=C\[C@@H]1[C@H]2C/C(=C\CCCC(=O)O)C[C@H]2C[C@H]1O,0.57,360.23005950400085,0.6818181818181818,4,3,2,4,26,11,0,77.76,0.3514175873049406,3.541300000000003,8.827445592126047,2,0,2,0,0,0,2,0,2
C[C@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,2.11,281.1051933400004,0.17647058823529413,4,1,3,4,21,4,0,57.61,0.9403842756349199,3.0351000000000017,7.760892978353922,0,1,1,2,0,2,0,0,0
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@@H](N)[C@H](I)[C@@H](C)O1,10.3,653.0757940960008,0.4444444444444444,11,6,5,12,39,12,0,185.84,0.15252776711428115,1.4439999999999997,8.399252532176574,2,1,3,2,0,2,0,1,1
CC(C)NC[C@H](O)c1ccc(O)c(O)c1,0.41,211.120843404,0.45454545454545453,4,4,1,4,15,9,0,72.72,0.5632719285067509,1.1291999999999998,7.358983552972512,0,0,0,1,0,1,0,0,0
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@@H]1c1cccc2nonc12,3.3,371.1481207720006,0.3684210526315789,8,1,3,8,27,9,0,103.55,0.8181000978992072,2.5822000000000003,7.877002959399965,0,1,1,1,1,2,0,0,0
CN[C@@]1(c2ccccc2Cl)CCCCC1=O,2.8,237.092041812,0.46153846153846156,2,1,2,3,16,3,0,29.1,0.8571565291687986,2.897800000000001,6.140535000434866,1,0,1,1,0,1,1,0,1
C[C@@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,2.1,254.094294308,0.125,3,1,2,3,19,5,0,54.37,0.8528036890699656,3.1057000000000015,7.745858296113586,0,0,0,2,0,2,0,0,0
O=C(c1ccccc1)c1ccc2n1CC[C@H]2C(=O)O,5.1,255.089543276,0.2,4,1,3,4,19,3,0,59.3,0.855918702387755,2.291,7.662599856050338,0,1,1,1,1,2,0,0,0
CCCCCCCCC/C=C\C=C\C(=O)NCC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](Nc2[nH]cnc3ncnc2-3)O[C@H]1[C@@H](O)CO,1.3,589.3223967160013,0.6071428571428571,14,8,3,14,42,22,0,214.83999999999997,0.07164779575332463,0.37040000000000256,9.085689264786101,0,3,3,0,0,0,0,1,1
CC[C@@]1(O)C[C@H](O[C@@H]2C[C@@H](N3CCOCC3)[C@H](O)[C@H](C)O2)c2c(O)c3c(c(O)c2[C@H]1O)C(=O)c1cccc(O)c1C3=O,10.7,585.2210109400008,0.5333333333333333,12,6,6,12,42,12,0,186.45,0.2422315156093947,1.4113000000000004,8.811248046370139,2,2,4,2,0,2,0,2,2
C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,4.4,328.1786926280007,0.3157894736842105,5,5,2,5,24,11,0,95.57999999999998,0.5968389616111595,2.1353999999999997,8.065307703418778,0,0,0,2,0,2,0,0,0
CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@@H](N4CC4)[C@H](OS(C)(=O)=O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,7.33,601.1617818120008,0.4827586206896552,12,3,6,13,42,12,0,176.73999999999998,0.21037517304096326,1.3611,8.535305190447504,2,2,4,2,0,2,0,2,2
Nc1ccn([C@@H]2CS[C@@H](CO)O2)c(=O)n1,9.1,229.052112212,0.5,6,3,2,7,15,4,0,90.36999999999999,0.7038615838122525,-0.5941000000000001,7.739566611383194,0,1,1,0,1,1,0,1,1
N[C@@H](Cc1ccccn1)c1ccccc1,10.4,198.115698448,0.15384615384615385,2,2,2,2,15,4,0,38.91,0.8216420812170326,2.3241000000000005,6.624546661332961,0,0,0,1,1,2,0,0,0
CS(=O)(=O)c1cc(F)cc2c3c(n(Cc4ccc(Cl)cc4)c12)[C@H](CC(=O)O)CC3,11.8,435.0707349880005,0.2857142857142857,5,1,4,8,29,6,0,76.37,0.6444080585360621,4.390100000000004,7.879125273449552,1,0,1,2,1,3,0,0,0
C=C[C@]1(C)C[C@@H](OC(=O)CS[C@H]2CC[C@H](N)C[C@H]2O)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,6.4,507.3018445400012,0.8571428571428571,6,4,4,7,35,12,0,109.85000000000001,0.38273499100363056,3.8668000000000036,9.394807272981453,4,0,4,0,0,0,4,0,4
CNCC[C@@H](O)[C@@H]1C[C@H](SC2=C(C(=O)O)N3C(=O)[C@H]([C@@H](C)O)[C@H]3[C@@H]2C)CN1,1.48,399.1827920280008,0.7777777777777778,8,5,3,9,27,13,0,122.13000000000001,0.3488210945334691,-0.42579999999999835,8.680806139715214,0,3,3,0,0,0,0,2,2
CN1CC[C@@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,13.5,257.177964356,0.6470588235294118,2,1,4,2,19,2,0,23.47,0.7718143750897627,3.080400000000002,8.660681655145874,2,1,3,1,0,1,1,1,2
NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21,9.8,254.105527688,0.13333333333333333,4,3,3,4,19,1,0,66.56,0.7581194848865715,2.4929000000000006,7.915378731702094,0,1,1,2,0,2,0,0,0
CC#CCn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,129.0,472.23352213600083,0.4,10,2,5,10,35,7,0,116.86000000000001,0.44290723544937405,1.1474199999999997,7.218350549539054,0,1,1,1,3,4,0,1,1
CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](C)O)N(C)C1,5.6,406.2137578080009,0.9444444444444444,8,5,2,9,27,15,0,122.49000000000001,0.37034350763056995,-0.8569999999999971,8.958233499424445,0,2,2,0,0,0,0,2,2
C[C@@H](Cc1ccccc1)NC(=O)[C@H](N)CCCCN,1.2,263.1997624200002,0.5333333333333333,4,5,1,4,19,11,0,81.14,0.6162274227299266,1.1901,8.233960383113118,0,0,0,1,0,1,0,0,0
NCCCC[C@@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,42.0,405.2263710920008,0.5714285714285714,8,5,2,8,29,13,0,132.95999999999998,0.3844882105003128,1.2352000000000007,8.498829310197515,0,1,1,1,0,1,0,1,1
CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1,1.8,338.21066145200075,0.45,5,2,4,5,25,6,0,51.370000000000005,0.9040890002345445,2.841400000000001,8.058777566237605,1,1,2,1,1,2,0,0,0
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=N[C@H]1O,17.0,320.0119329200003,0.06666666666666667,4,2,3,6,21,2,0,61.69,0.8476978945833689,3.1013000000000015,7.1273502360602174,0,1,1,2,0,2,0,0,0
CN1C(=O)[C@H](O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,4.9,334.02758298400033,0.125,4,1,3,6,22,3,0,52.900000000000006,0.8705347056850515,3.1256000000000013,7.282436417984285,0,1,1,2,0,2,0,0,0
CSCC[C@@H](N)C(=O)N[C@]1(C(=O)O)CS(=O)(=O)[C@H]2[C@H](C(=O)O)[C@H]21,0.84,366.05554291600043,0.75,9,5,2,11,23,9,0,163.85999999999999,0.4039784490238161,-1.8659999999999963,7.664277306659081,1,1,2,0,0,0,1,1,2
N[C@]1(C(=O)O)CS(=O)(=O)[C@H]2[C@H](C(=O)O)[C@H]21,1.23,235.015058008,0.7142857142857143,7,4,2,8,15,3,0,134.76,0.4983275449234884,-2.1038999999999994,7.788477842588261,1,1,2,0,0,0,1,1,2
Cc1nnc(C(C)C)n1C1C[C@H]2CC[C@H](C1)N2CC[C@@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,12.8,513.3279173720011,0.6896551724137931,6,1,5,8,37,11,0,63.050000000000004,0.473786196640125,5.950920000000006,9.068310309961074,1,2,3,1,1,2,1,2,3
COc1ccc(Cl)cc1[C@@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21,37.0,359.03361912000025,0.1875,3,1,3,8,24,3,0,38.33,0.7998531036451688,4.532600000000002,6.765298116830747,0,1,1,2,0,2,0,0,0
C[C@H](CCc1ccc2c(c1)OCO2)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,11.0,372.16852186800065,0.35,7,5,3,7,27,11,0,114.03999999999999,0.5624302206623817,1.8640999999999996,7.902903618405314,0,1,1,2,0,2,0,0,0
N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@@H](NCC(=O)O)C2CCCCC2)cc1,1.6,429.23760447200084,0.5454545454545454,9,6,3,9,31,9,0,148.60999999999999,0.2897076869180157,0.8108700000000015,8.367419021656957,1,1,2,1,0,1,1,1,2
C[C@@H]1O[C@@H](O[C@H]2[C@H](O)C[C@H](O[C@H]3C[C@](O)(C(=O)CO)Cc4c(O)c5c(c(O)c43)C(=O)c3ccccc3C5=O)O[C@H]2C)C[C@@H](N)[C@@H]1O,21.0,643.226490244001,0.53125,14,8,6,14,46,15,0,235.52999999999997,0.1734832483457959,-0.1262999999999988,8.984290632597181,2,2,4,2,0,2,0,2,2
CO[C@@H]1C[C@@](C)(O)Cc2cc3c(c(O)c21)C(=O)c1c(O)cc2c(c1C3=O)O[C@@H]1O[C@@]2(C)[C@@H](O)[C@H](N(C)C)[C@@H]1O,13.22,541.1947961920007,0.5,11,5,6,11,39,12,0,166.22,0.31247555954682155,0.8737999999999999,8.916741797170777,2,2,4,2,0,2,0,1,1
Cc1cc2c(OC[C@H](O)CNC(C)C)cccc2[nH]1,4.61,262.16812794400016,0.4666666666666667,4,3,2,4,19,10,0,57.28,0.7478636730065338,2.2140199999999997,7.681234122295989,0,0,0,1,1,2,0,0,0
Cc1cccc(C)c1NC(=O)[C@H]1CCCCN1C,2.0,246.173213324,0.5333333333333333,3,1,2,3,18,5,0,32.34,0.8699043213708456,2.7262400000000007,7.476958765911677,0,1,1,1,0,1,0,1,1
CC[C@]1(c2cccc(O)c2)CCCCN(C)C1,1.7,233.177964356,0.6,2,1,2,2,17,5,0,23.47,0.847890441359752,3.1557000000000013,7.8913174604344745,0,1,1,1,0,1,0,1,1
CC(C)NC[C@H](O)c1cc(O)cc(O)c1,6.41,211.120843404,0.45454545454545453,4,4,1,4,15,9,0,72.72,0.6021334012552945,1.1291999999999998,7.36896208379176,0,0,0,1,0,1,0,0,0
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@@H]21,0.93,403.22597716800084,0.4,5,1,5,5,30,6,0,46.50000000000001,0.7144914102401915,4.064700000000003,8.380643685570952,1,1,2,2,1,3,0,1,1
CCC(=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,31.0,309.20926448400076,0.38095238095238093,2,0,2,2,23,11,0,20.310000000000002,0.7601212787758543,4.292000000000004,7.901555084909451,0,0,0,2,0,2,0,0,0
COc1cccc(OC)c1C(=O)N[C@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,0.64,380.1042073600005,0.47058823529411764,8,2,3,9,26,9,0,105.17,0.7328552661597635,0.9490999999999998,7.171887495858929,0,2,2,1,0,1,0,2,2
C=CC[C@@]1([C@H](C)C#CCC)C(=O)NC(=O)N(C)C1=O,1.6,262.1317424360002,0.5,5,1,1,5,19,6,0,66.48,0.47348972477403223,1.3066,6.935584627731494,0,1,1,0,0,0,0,1,1
CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1,1.85,339.1946770400007,0.45,5,3,4,5,25,7,0,68.36,0.7971701178185844,1.9247,8.195132237374144,1,1,2,1,1,2,0,0,0
C[N@@+]1(CC2CC2)CC[C@@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,2.5,356.1856347320907,0.6666666666666666,5,2,6,5,26,5,0,66.76,0.7913895398394191,1.6699999999999997,8.948481885323814,3,2,5,1,0,1,2,1,3
C[C@@H]1CC2=CC(=O)CC[C@@H]2[C@H]2CC[C@@]3(C)[C@H](O)CC[C@H]3[C@@H]21,0.65,288.2089301360008,0.8421052631578947,2,1,4,2,21,3,0,37.3,0.7371079850569328,3.7351000000000028,8.732927469061762,4,0,4,0,0,0,3,0,3
COC(=O)[C@H](c1ccccc1)[C@@H]1CCCCN1,4.8,233.141578848,0.5,3,1,2,3,17,4,0,38.33,0.8123400616112664,2.0852999999999997,7.753866260404923,0,1,1,1,0,1,0,1,1
C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,2.3,374.2093240600008,0.7272727272727273,5,3,4,5,27,8,0,94.83000000000001,0.6851425387768039,1.8036,8.777953261863667,4,0,4,0,0,0,3,0,3
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N[C@H]1C,20.0,365.0600900520005,0.1875,6,3,3,8,24,5,0,92.5,0.8553020577996141,2.714120000000001,7.613094837769578,0,1,1,2,0,2,0,0,0
COCCc1ccc(OC[C@@H](O)CNC(C)C)cc1,3.6,267.1834436600003,0.6,4,2,1,4,19,13,0,50.72,0.7135696186852984,1.6132,7.969928928981309,0,0,0,1,0,1,0,0,0
Cc1cccc(C)c1OC[C@H](C)N,9.9,179.131014164,0.45454545454545453,2,2,1,2,13,7,0,35.25,0.7701737793320904,2.0294399999999997,6.823883120225357,0,0,0,1,0,1,0,0,0
COCC(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,13.0,495.2897202960011,0.5172413793103449,6,1,4,7,36,15,0,67.45,0.3671828919918632,5.270900000000005,8.606867691108281,1,0,1,2,1,3,0,0,0
Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,19.75,413.98602378800035,0.16666666666666666,3,0,3,7,25,6,0,27.05,0.4616906207935435,6.454800000000002,7.513532371400246,0,0,0,2,1,3,0,0,0
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](c3ccc(N(C)C)cc3)C[C@@]21C,16.6,429.266779360001,0.5517241379310345,3,1,5,3,32,6,0,40.54,0.6395257442251707,5.406500000000006,8.78500460218715,4,0,4,1,0,1,2,0,2
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,17.0,457.18490020400066,0.43478260869565216,10,6,4,10,33,11,0,164.63,0.3983715598370968,0.1866000000000017,8.239236521373085,3,0,3,1,0,1,0,0,0
CN1CCN2c3ncccc3Cc3ccccc3[C@H]2C1,15.0,265.15789760800027,0.35294117647058826,3,0,4,3,20,1,0,19.37,0.7292796247091088,2.4789000000000003,6.987392901909542,0,2,2,1,1,2,0,1,1
C[C@H]1C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]2(C)[C@]1(OC(=O)c1ccco1)C(=O)CCl,4.4,520.1419440400007,0.5925925925925926,6,1,5,8,35,8,0,93.81,0.44910184900220873,4.869200000000005,8.66977407281375,4,0,4,0,1,1,3,0,3
Cc1ncc([N+](=O)[O-])n1C[C@@H](O)CN1CCOCC1,6.2,270.1328050560004,0.7272727272727273,8,1,2,8,19,7,0,93.66,0.5876456035799054,-0.20718000000000036,5.657599013539015,0,1,1,0,1,1,0,1,1
CN1CC[C@@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@@H]3[C@@H]1C5,2.0,285.13649346800054,0.5294117647058824,4,2,5,4,21,3,0,52.93000000000001,0.7033474919154648,1.1981,8.765712887750372,2,2,4,1,0,1,0,1,1
COc1c(C)c2c(c(O)c1C/C=C(/C)CCC(=O)O)C(=O)OC2,9.7,320.1259883600005,0.4117647058823529,6,2,2,6,23,10,0,93.06000000000002,0.6181996922805278,2.73322,7.546447544668242,0,1,1,1,0,1,0,0,0
CC(C)(C)NC[C@H](O)COc1cccc2c1C[C@@H](O)[C@H](O)C2,9.2,309.19400834400074,0.6470588235294118,5,4,2,5,22,8,0,81.95,0.6414681234920219,0.6347999999999998,8.420679718503408,1,0,1,1,0,1,0,0,0
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@]2(CCN3CC2CC2)[C@H]1O5,1.9,341.1627082160006,0.65,5,2,6,5,25,4,0,70.0,0.8536215236957835,1.5253999999999999,8.784820701938537,3,2,5,1,0,1,2,1,3
CCN(CC)CCOC(=O)[C@H](Cc1cccc2ccccc12)C[C@@H]1CCCO1,1.35,383.24604391600093,0.5416666666666666,4,0,3,4,28,12,0,38.769999999999996,0.5682411406599145,4.452600000000004,8.476197045029098,0,1,1,2,0,2,0,1,1
CN1CCO[C@H](c2ccccc2)c2ccccc2C1,5.0,253.146664228,0.29411764705882354,2,0,3,2,19,2,0,12.47,0.7733298315151294,3.238000000000002,7.3274946780198995,0,1,1,2,0,2,0,0,0
COc1c(N2C[C@@H](C)C[C@@H](N)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12,13.5,371.18450628000073,0.5,7,3,4,7,27,7,0,97.78999999999999,0.8551726034060254,2.2167000000000003,7.682424385672017,1,1,2,1,1,2,1,1,2
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@@H](N2CCO[C@H](OC)C2)[C@H](O)[C@H](C)O1,49.2,643.226490244001,0.53125,14,5,6,14,46,15,0,201.74999999999997,0.22076912403932697,0.3472999999999998,8.854244738355538,2,2,4,2,0,2,0,2,2
CCN[C@@H]1C[C@@H](N)[C@H](O[C@H]2OC(CN)=CC[C@@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@@H](NC)[C@H]1O,3.2,475.30059865200104,0.9047619047619048,12,11,3,12,33,17,0,199.72999999999996,0.17503537053091334,-3.200699999999992,9.175469968506542,1,2,3,0,0,0,1,1,2
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)[C@@H]1c1cccc([N+](=O)[O-])c1,4.1,479.2056356480008,0.3076923076923077,9,1,3,9,35,13,0,111.00999999999999,0.329448552641207,3.677800000000002,7.678182051922766,0,1,1,2,0,2,0,0,0
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@H]1c1cccc([N+](=O)[O-])c1,1.3,418.1740011720007,0.42857142857142855,9,1,2,9,30,13,0,117.0,0.2963419520142686,2.9708000000000014,7.06269238103178,0,1,1,1,0,1,0,0,0
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)[C@H]1c1ccccc1[N+](=O)[O-],11.0,388.1634364880006,0.4,8,1,2,8,28,11,0,107.77000000000001,0.45278603663958333,3.201800000000002,6.454736693168349,0,1,1,1,0,1,0,0,0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@H]1c1cccc([N+](=O)[O-])c1,8.2,360.1321363600005,0.3333333333333333,8,1,2,8,26,9,0,107.77000000000001,0.4882471812012686,2.5657000000000005,7.806124964326765,0,1,1,1,0,1,0,0,0
O=C1CN(/N=C\c2ccc([N+](=O)[O-])o2)C(=O)N1,0.97,238.033819292,0.125,9,1,2,9,17,3,0,118.05000000000001,0.34574784602989994,0.07349999999999995,5.8862602423349815,0,1,1,0,1,1,0,1,1
COc1cc([C@@H]2c3cc4c(cc3[C@H](O[C@@H]3O[C@H]5CO[C@H](C)O[C@H]5[C@H](O)[C@H]3N(C)C)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,14.0,615.2315756240009,0.5806451612903226,13,2,7,13,44,13,0,143.84000000000003,0.45727564367787343,1.9078999999999993,8.977415225896033,1,4,5,2,0,2,0,3,3
